Name,SIPS_URL,SIPS_COCKTAILS,SIPS_WINE,SIPS_BEER,SIPS_HALFPRICEDAPPS,RW_URL,RW_DETAILS,RW_DEALS,RW_MENU,RESERVATION_LINK,Address,Latitude,Longitude,Website,Categories,Price,Review_Count,RW_PHOTO,SIPS_PARTICIPANT,RW_PARTICIPANT,Neighborhoods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Smoking,Yelp_Rating,RW_Score,Popularity,Parking,Best_Nights,Payment,Minority_Owned,Good_For,Offers,Options,Vibes,Accessibility,Dogs_Allowed,Packaging,Reservation_Type,Seating,Meal_Types,Music,Alcohol_Options,Amenities
1225 Raw Sushi and Sake Lounge,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#1225-raw-sushi-and-sake-lounge,Participating in dinner only. Offering indoor and outdoor dining. Closed Monday.,$45 DINNER,https://centercityphila.org/uploads/attachments/clly71s7mbf9jwnqdars7fk7y-raw1225.pdf,,"1225 Sansom St, Philadelphia, PA 19102",39.94977845,-75.16082182,https://1225rawnledas.com,"['Japanese', 'Sushi Bars', 'Korean']",$$,582.0,https://centercityphila.org/uploads/attachments/cj2lxzkgb00ra9vqdkiq45v7e-image1.0.174.1447.1447.full.jpg,N,Y,,Closed,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 10:00 PM,,3.7,38.0,60.0,"Street Parking, Bike Parking, Validated Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Trendy, Classy, Casual, Moderate Noise",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,,,"Happy Hour, Full Bar","TV, Wi-Fi"
Aki Nom Nom,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#aki-nom-nom,Participating in lunch and dinner. Offering indoor dining.,Coming soon,,https://www.opentable.com/r/aki-nom-nom-sushi-and-ramen-reservations-philadelphia?restref=1015834&lang=en-US,"1210 Walnut St, Philadelphia, PA 19107",39.9487415,-75.16115766,http://akisushi.com,"['Sushi Bars', 'Ramen']",$$,630.0,https://centercityphila.org/uploads/attachments/civfnv30300t0l7qd1j8vgebz-img-3255.846.23.2405.2405.full.jpg,N,Y,['Washington Square West'],11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,11:30 AM - 12:00 AM,11:30 AM - 12:00 AM,11:30 AM - 10:30 PM,,3.5,34.0,58.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",True,,Takes Reservations,Outdoor Seating,Dinner,,"Happy Hour, Full Bar","TV, Wi-Fi"
Alice Pizza,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#alice-pizza,"Participating in lunch, dinner and takeout. Offering indoor dining.",$45 DINNER,https://centercityphila.org/uploads/attachments/clksc8v1pacvf0vqd4bn1k9ue-alice.pdf,,"235 S 15th Street, Philadelphia, PA 19102",39.9481842,-75.1660517,http://www.alicephilly.com,"['Pizza', 'Italian', 'Gelato']",$$,311.0,https://centercityphila.org/uploads/attachments/ck55ngp8o27cm01qdrl2ydun8-gran-caffe.309.0.760.760.full.jpg,N,Y,"['Avenue of the Arts South', 'Rittenhouse Square']",11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:30 AM - 9:00 PM,,4.3,49.0,70.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,"Trendy, Classy, Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,Provides reusable tableware,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating","Dessert, Dinner",,"Happy Hour, Full Bar","TV, Wi-Fi"
Amada,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#amada,Participating in dinner only. Offering indoor dining.,$45 DINNER,https://centercityphila.org/uploads/attachments/clluwrm2pbalcjnqd3va3v0dl-amada.pdf,https://www.opentable.com/restaurant/profile/5129/reserve?ref=939,"217-219 Chestnut St, Philadelphia, PA 19106",39.9485657,-75.1448374,http://www.amadarestaurant.com,"['Tapas Bars', 'Spanish', 'Iberian']",$$,2259.0,https://centercityphila.org/uploads/attachments/civfo0umy00t6l7qd6w4pmbxn-amada-croquetas-de-jamon-amada.341.0.1365.1365.full.jpg,N,Y,['Old City'],5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,,4.2,53.0,90.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Pescatarian Options, Vegetarian Options","Trendy, Moderate Noise",,,,Takes Reservations,"Outdoor Seating, Private Dining",,,"Happy Hour, Full Bar","TV, Wi-Fi"
Amina,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#amina,"Participating in lunch, dinner, and takeout. Offering indoor dining. Closed on Mondays. Not participating on Saturday, September 16 and Saturday, September 23.",$45 DINNER,https://centercityphila.org/uploads/attachments/clkwusrusa39rjnqdaqm003vc-amina.pdf,https://www.opentable.com/restaurant/profile/1239313/reserve?ref=9169,"104 Chestnut St, Philadelphia, PA 19106",39.948127,-75.14276525,http://aminaphilly.com,['Southern'],,131.0,https://centercityphila.org/uploads/attachments/clkwuzpb1ajrp0vqdk9umna1x-aminapic.79.0.482.482.full.jpg,N,Y,['Old City'],Closed,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,10:00 AM - 12:00 AM,10:00 AM - 10:00 PM,,4.0,42.0,62.0,Street Parking,,,,Dinner,"Offers Delivery, Offers Takeout",,"Trendy, Classy, Intimate, Romantic, Upscale, Casual, Moderate Noise",,,Provides reusable tableware,Takes Reservations,Outdoor Seating,Dessert,,Full Bar,
Ancient Spirits & Grille,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#ancient-spirits-grille,"Participating in lunch, dinner and takeout. Offering indoor and outdoor dining. ",$45 DINNER | $20 LUNCH | COCKTAILS,https://centercityphila.org/uploads/attachments/clkjrtuzr9mfdm8qd9woymj2v-ancientdinner.pdf,https://www.opentable.com/restaurant/profile/1177882/reserve?ref=9169,"1726 Chestnut St, Philadelphia, PA 19103",39.9515042,-75.1698515,https://asgphilly.com,"['Lounges', 'Cocktail Bars', 'Modern European']",$$,73.0,https://centercityphila.org/uploads/attachments/cktiohlqd29qppeqdo66u5jyn-ancient-spirits-grille.0.0.1080.1080.full.jpg,N,Y,"['Penn Center', 'Rittenhouse Square']",11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 10:00 PM,True,3.7,36.0,58.0,Bike Parking,,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",Vegetarian Options,"Classy, Casual",Wheelchair Accessible,,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining",,,"Happy Hour, Full Bar","TV, Wi-Fi"
Bahn Mi and Bottles,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#bahn-mi-and-bottles,Participating in dinner only. Offering indoor dining.,$60 DINNER,https://centercityphila.org/uploads/attachments/clm0u8wzibpvqhnqds517lu33-banhmi2.pdf,https://resy.com/cities/pha/banh-mi-and-bottles,"712-14 South St, Philadelphia, PA 19147",39.9420217,-75.1523396,https://www.banhmiandbottles.com,"['Vietnamese', 'Beer, Wine & Spirits', 'Cocktail Bars']",$$,294.0,https://centercityphila.org/uploads/attachments/cll2okayaa5wkomqdpwvnr7wz-banh-mi.500.0.2833.2833.full.jpg,N,Y,"['South Street District', 'Society Hill', 'Washington Square West']",5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 10:00 PM,True,4.2,47.0,70.0,"Street Parking, Bike Parking, Garage Parking",Saturday,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Trendy, Classy, Hipster, Casual, Moderate Noise",Gender-neutral restrooms,,Provides reusable tableware,"Walk-ins Welcome, Takes Reservations",Outdoor Seating,Dinner,,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi"
Bank and Bourbon,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#bank-and-bourbon,Participating in lunch and dinner. Offering indoor dining.,$45 DINNER | $20 LUNCH,https://centercityphila.org/uploads/attachments/cllgspi5hasp4m8qd12vpri4h-bank-bourbondinner.pdf,https://resy.com/cities/pha/bank-and-bourbon-at-loews-philadelphia-hotel?date=2022-05-05&seats=2,"1200 Market St, Philadelphia, PA 19107",39.9515897,-75.160309,http://bankandbourbon.com,"['American (New)', 'Gastropubs']",$$$,432.0,https://centercityphila.org/uploads/attachments/cji3g9qb9006sebqd43ekn7rf-bank-bourbon.126.0.460.460.full.jpg,N,Y,,7:00 AM - 11:30 AM,7:00 AM - 11:30 AM,7:00 AM - 11:30 AM,7:00 AM - 11:30 AM,7:00 AM - 11:30 AM,7:00 AM - 1:00 PM,7:00 AM - 1:00 PM,,3.7,55.0,59.0,"Bike Parking, Garage Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Limited Vegetarian Options","Classy, Moderate Noise",Wheelchair Accessible,,,Takes Reservations,Outdoor Seating,Dinner,,"Happy Hour, Full Bar","TV, Wi-Fi"
Barbuzzo,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#barbuzzo,,$45 DINNER,https://centercityphila.org/uploads/attachments/clle1p8a8anenomqd0zww53ap-barbuzzo.pdf,https://www.opentable.com/restaurant/profile/47290/reserve?ref=9169,"110 S 13th St, Philadelphia, PA 19107",39.9500257,-75.1620492,http://www.barbuzzo.com,"['Mediterranean', 'Pizza', 'Italian']",$$,3193.0,https://centercityphila.org/uploads/attachments/ciu4h3b220013qgqdvncgy6z5-barbuzzo.178.0.1084.1084.full.jpg,N,Y,['Avenue of the Arts South'],5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,,4.3,58.0,100.0,"Street Parking, Bike Parking, Garage Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Limited Vegetarian Options","Trendy, Casual, Loud",Gender-neutral restrooms,,"Plastic-free packaging, Provides reusable tableware",Takes Reservations,Outdoor Seating,,,"Happy Hour, Full Bar","TV, Wi-Fi"
Bellini,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#bellini,Participating in dinner and takeout. Offering indoor and outdoor dining.,$45 DINNER,https://centercityphila.org/uploads/attachments/cllbbv3g2aqmghnqdihnra36o-bellini.pdf,https://www.opentable.com/restaurant/profile/17053/reserve?ref=9169,"220 S 16th St, Philadelphia, PA 19102",39.94909595,-75.16787068,https://belliniphiladelphia.com,"['Italian', 'Cocktail Bars', 'Wine Bars']",$$,370.0,https://centercityphila.org/uploads/attachments/ckt3270eo1pibmrqds1x5l4nb-bellini.0.756.3024.3024.full.jpg,N,Y,['Rittenhouse Square'],4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 9:00 PM,True,3.1,25.0,56.0,"Street Parking, Bike Parking, Validated Parking, Garage Parking",Saturday,"Credit Cards, Apple Pay",,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,"Classy, Casual, Moderate Noise","Open to All, Wheelchair Accessible",,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Drive-Thru",,,"Happy Hour, Full Bar","TV, Wi-Fi"
